Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,9.860000,9.910000,9.860000,9.890000,6.808548,10256900
2018-08-08,9.890000,9.930000,9.890000,9.900000,6.815432,9629100
2018-08-09,9.900000,9.920000,9.890000,9.900000,6.815432,8737200
2018-08-10,9.900000,9.930000,9.880000,9.890000,6.808548,10032800
2018-08-13,9.890000,9.900000,9.850000,9.880000,6.801663,6728900
2018-08-14,9.860000,9.900000,9.800000,9.800000,6.746588,10299400
2018-08-15,9.800000,9.820000,9.760000,9.790000,6.739706,7337400
2018-08-16,9.780000,9.820000,9.770000,9.790000,6.739706,6138100
2018-08-17,9.800000,9.810000,9.780000,9.780000,6.732821,5919000
2018-08-20,9.770000,9.850000,9.770000,9.790000,6.739706,6530200
2018-08-21,9.800000,9.840000,9.780000,9.820000,6.760357,15016700
2018-08-23,9.810000,9.820000,9.770000,9.810000,6.753472,10984800
2018-08-24,9.800000,9.840000,9.800000,9.810000,6.753472,6113300
2018-08-27,9.840000,9.960000,9.830000,9.930000,6.836085,12797000
2018-08-28,9.950000,10.000000,9.930000,10.000000,6.884274,10501200
2018-08-29,10.000000,10.000000,9.930000,10.000000,6.884274,14728000
2018-08-30,9.990000,10.000000,9.920000,9.960000,6.856737,10068400
2018-09-03,10.020000,10.140000,9.990000,10.020000,6.898043,9775000
2018-09-04,10.020000,10.060000,9.990000,9.990000,6.877389,8287700
2018-09-05,9.950000,10.000000,9.750000,9.870000,6.794778,13455000
2018-09-06,9.850000,9.900000,9.830000,9.880000,6.801663,4707600
2018-09-07,9.900000,9.900000,9.820000,9.890000,6.808548,4506400
2018-09-12,10.020000,10.020000,9.750000,9.800000,6.746588,13810700
2018-09-13,9.790000,9.900000,9.750000,9.880000,6.801663,12140900
2018-09-14,9.850000,9.930000,9.850000,9.900000,6.815432,10078600
2018-09-18,9.840000,9.880000,9.690000,9.740000,6.705283,12632400
2018-09-19,9.790000,9.870000,9.750000,9.750000,6.712166,8240800
2018-09-20,9.750000,9.800000,9.740000,9.790000,6.739706,7818900
2018-09-21,9.820000,9.860000,9.760000,9.790000,6.739706,57213100
2018-09-24,9.770000,9.820000,9.760000,9.790000,6.739706,7045300
2018-09-25,9.790000,9.820000,9.780000,9.800000,6.746588,3800200
2018-09-26,9.800000,9.820000,9.780000,9.780000,6.732821,17150300
2018-09-27,9.790000,9.810000,9.780000,9.790000,6.739706,9193400
2018-09-28,9.600000,9.800000,9.560000,9.790000,6.916322,13366400
2018-10-01,9.780000,9.790000,9.710000,9.710000,6.859804,5945200
2018-10-02,9.750000,9.760000,9.700000,9.740000,6.880998,6422200
2018-10-03,9.710000,9.730000,9.670000,9.710000,6.859804,10215700
2018-10-04,9.690000,9.730000,9.660000,9.700000,6.852739,9838200
2018-10-05,9.710000,9.710000,9.600000,9.660000,6.824481,7781000
2018-10-08,9.630000,9.670000,9.630000,9.650000,6.817416,8498600
2018-10-09,9.630000,9.660000,9.600000,9.650000,6.817416,6917100
2018-10-10,9.590000,9.650000,9.370000,9.510000,6.718511,13108100
2018-10-11,9.350000,9.420000,9.160000,9.280000,6.556022,18672500
2018-10-12,9.240000,9.610000,9.240000,9.580000,6.767963,15691900
2018-10-15,9.580000,9.660000,9.540000,9.580000,6.767963,10743000
2018-10-16,9.550000,9.570000,9.480000,9.550000,6.746769,7996600
2018-10-17,9.600000,9.620000,9.560000,9.590000,6.775027,12202100
2018-10-18,9.550000,9.610000,9.480000,9.600000,6.782092,7878600
2018-10-19,9.580000,9.610000,9.480000,9.600000,6.782092,10535300
2018-10-22,9.620000,9.640000,9.570000,9.600000,6.782092,7153300
2018-10-23,9.540000,9.550000,9.400000,9.400000,6.640798,11929400
2018-10-24,9.410000,9.500000,9.330000,9.380000,6.626670,6080400
2018-10-25,9.330000,9.480000,9.260000,9.470000,6.690252,8452700
2018-10-26,9.460000,9.460000,9.400000,9.440000,6.669057,6507300
2018-10-29,9.440000,9.440000,9.260000,9.270000,6.548959,2792100
2018-10-30,9.310000,9.420000,9.240000,9.340000,6.598410,5658000
2018-10-31,9.400000,9.590000,9.340000,9.490000,6.704381,12132200
2018-11-01,9.490000,9.500000,9.390000,9.400000,6.640798,8071900
2018-11-02,9.460000,9.520000,9.370000,9.400000,6.640798,10608300
2018-11-05,9.400000,9.460000,9.270000,9.380000,6.626670,4485900
2018-11-07,9.310000,9.350000,9.190000,9.280000,6.556022,14818100
2018-11-08,9.340000,9.370000,9.280000,9.320000,6.584280,8754200
2018-11-09,9.320000,9.320000,9.190000,9.290000,6.563088,10221400
2018-11-12,9.250000,9.270000,9.130000,9.200000,6.499505,4837800
2018-11-13,9.150000,9.230000,9.100000,9.190000,6.492440,7729300
2018-11-14,9.180000,9.300000,9.160000,9.290000,6.563088,4758800
2018-11-15,9.240000,9.500000,9.220000,9.380000,6.626670,6542200
2018-11-16,9.470000,9.480000,9.360000,9.450000,6.676122,9596800
2018-11-19,9.470000,9.500000,9.390000,9.500000,6.711446,6456900
2018-11-21,9.400000,9.460000,9.370000,9.400000,6.640798,6999400
2018-11-22,9.400000,9.490000,9.340000,9.390000,6.633735,3254700
2018-11-23,9.390000,9.420000,9.360000,9.420000,6.654927,1617500
2018-11-26,9.420000,9.450000,9.380000,9.450000,6.676122,4529900
2018-11-27,9.450000,9.520000,9.340000,9.400000,6.640798,7670100
2018-11-28,9.430000,9.460000,9.400000,9.430000,6.661993,10103200
2018-11-29,9.450000,9.490000,9.440000,9.450000,6.676122,10535200
2018-11-30,9.450000,9.450000,9.340000,9.390000,6.633735,15597100
2018-12-03,9.460000,9.470000,9.390000,9.430000,6.661993,8414800
2018-12-04,9.420000,9.440000,9.390000,9.420000,6.654927,8761700
2018-12-05,9.380000,9.450000,9.380000,9.420000,6.654927,3366600
2018-12-06,9.420000,9.440000,9.340000,9.440000,6.669057,5560500
2018-12-07,9.410000,9.450000,9.390000,9.420000,6.654927,2510200
2018-12-10,9.420000,9.420000,9.330000,9.370000,6.619604,3082700
2018-12-11,9.350000,9.380000,9.280000,9.340000,6.598410,6823200
2018-12-12,9.340000,9.390000,9.290000,9.290000,6.563088,6678800
2018-12-13,9.310000,9.520000,9.310000,9.440000,6.669057,5242400
2018-12-14,9.420000,9.460000,9.340000,9.370000,6.619604,4947000
2018-12-17,9.350000,9.400000,9.300000,9.300000,6.570152,4956900
2018-12-18,9.290000,9.340000,9.220000,9.220000,6.513633,5719700
2018-12-19,9.220000,9.400000,9.210000,9.330000,6.591346,6851500
2018-12-20,9.220000,9.300000,9.220000,9.300000,6.570152,4682500
2018-12-21,9.220000,9.310000,9.220000,9.290000,6.563088,13703900
2018-12-24,9.250000,9.320000,9.220000,9.260000,6.541894,4907700
2018-12-26,9.230000,9.350000,9.220000,9.350000,6.605475,2533700
2018-12-27,9.360000,9.430000,9.320000,9.400000,6.640798,2726500
2018-12-28,9.400000,9.470000,9.360000,9.430000,6.661993,3417500
2018-12-31,9.450000,9.520000,9.440000,9.500000,6.711446,9538100
2019-01-02,9.500000,9.500000,9.380000,9.390000,6.633735,4096900
2019-01-03,9.320000,9.450000,9.320000,9.360000,6.612540,6983900
2019-01-04,9.310000,9.380000,9.310000,9.350000,6.605475,4276600
2019-01-07,9.370000,9.510000,9.370000,9.460000,6.683187,7580400
2019-01-08,9.490000,9.500000,9.440000,9.470000,6.690252,6692800
2019-01-09,9.490000,9.490000,9.440000,9.470000,6.690252,7504700
2019-01-10,9.480000,9.490000,9.390000,9.450000,6.676122,6418900
2019-01-11,9.460000,9.480000,9.400000,9.450000,6.676122,8841600
2019-01-14,9.450000,9.470000,9.340000,9.430000,6.661993,2583700
2019-01-15,9.450000,9.490000,9.370000,9.410000,6.647863,8929600
2019-01-16,9.410000,9.430000,9.370000,9.420000,6.654927,7022100
2019-01-17,9.450000,9.460000,9.380000,9.410000,6.647863,5297500
2019-01-18,9.420000,9.550000,9.400000,9.550000,6.746769,7469700
2019-01-22,9.530000,9.550000,9.480000,9.510000,6.718511,8835800
2019-01-23,9.510000,9.550000,9.450000,9.540000,6.739704,10802200
2019-01-24,9.530000,9.650000,9.520000,9.620000,6.796221,15604900
2019-01-25,9.590000,9.660000,9.590000,9.660000,6.824481,15255800
2019-01-28,9.690000,9.710000,9.530000,9.660000,6.824481,10645700
2019-01-29,9.650000,9.690000,9.560000,9.690000,6.845675,14146100
2019-01-30,9.630000,9.690000,9.560000,9.600000,6.782092,11085400
2019-01-31,9.640000,9.640000,9.540000,9.540000,6.739704,17031300
2019-02-04,9.680000,9.680000,9.550000,9.570000,6.760898,6692100
2019-02-07,9.600000,9.660000,9.520000,9.590000,6.775027,8378900
2019-02-08,9.550000,9.600000,9.550000,9.580000,6.767963,11303300
2019-02-11,9.600000,9.630000,9.570000,9.590000,6.775027,9894600
2019-02-12,9.620000,9.620000,9.550000,9.560000,6.753833,6208100
2019-02-13,9.550000,9.600000,9.500000,9.550000,6.746769,8783000
2019-02-14,9.520000,9.590000,9.510000,9.550000,6.746769,9235500
2019-02-15,9.560000,9.570000,9.440000,9.470000,6.690252,10588600
2019-02-18,9.480000,9.530000,9.470000,9.480000,6.697316,2891200
2019-02-19,9.480000,9.490000,9.460000,9.480000,6.697316,28160800
2019-02-20,9.510000,9.540000,9.480000,9.520000,6.725575,22180400
2019-02-21,9.530000,9.570000,9.510000,9.530000,6.732640,10883700
2019-02-22,9.530000,9.570000,9.520000,9.540000,6.739704,7149200
2019-02-25,9.560000,9.570000,9.510000,9.540000,6.739704,6372500
2019-02-26,9.560000,9.590000,9.530000,9.550000,6.746769,22190000
2019-02-27,9.580000,9.610000,9.560000,9.580000,6.767963,21041200
2019-02-28,9.590000,9.630000,9.530000,9.530000,6.732640,15956400
2019-03-01,9.580000,9.580000,9.510000,9.530000,6.732640,16015900
2019-03-04,9.500000,9.660000,9.500000,9.540000,6.739704,7364200
2019-03-05,9.530000,9.580000,9.530000,9.530000,6.732640,5966300
2019-03-06,9.560000,9.570000,9.530000,9.540000,6.739704,6943400
2019-03-07,9.520000,9.600000,9.520000,9.530000,6.732640,9146700
2019-03-08,9.530000,9.580000,9.510000,9.530000,6.732640,10003800
2019-03-11,9.530000,9.540000,9.470000,9.470000,6.690252,5990400
2019-03-12,9.480000,9.540000,9.470000,9.490000,6.704381,6568100
2019-03-13,9.490000,9.550000,9.470000,9.550000,6.746769,9009300
2019-03-14,9.550000,9.550000,9.470000,9.490000,6.704381,6393200
2019-03-15,9.540000,9.550000,9.470000,9.470000,6.690252,12417200
2019-03-18,9.500000,9.520000,9.480000,9.490000,6.704381,4231000
2019-03-19,9.490000,9.500000,9.470000,9.480000,6.697316,7332600
2019-03-20,9.470000,9.500000,9.440000,9.470000,6.690252,5747000
2019-03-21,9.480000,9.480000,9.300000,9.400000,6.640798,10788200
2019-03-22,9.430000,9.440000,9.260000,9.290000,6.563088,9648000
2019-03-25,9.250000,9.290000,9.220000,9.230000,6.520700,8208300
2019-03-26,9.230000,9.300000,9.230000,9.250000,6.534829,13550500
2019-03-27,9.300000,9.310000,9.250000,9.260000,6.541894,7539400
2019-03-28,9.260000,9.300000,9.250000,9.260000,6.541894,10759500
2019-03-29,9.280000,9.290000,9.230000,9.270000,6.548959,12318600
2019-04-01,9.280000,9.290000,9.190000,9.200000,6.499505,10000500
2019-04-02,9.270000,9.290000,9.220000,9.250000,6.534829,9276600
2019-04-03,9.290000,9.290000,9.240000,9.240000,6.527765,8149100
2019-04-04,9.240000,9.300000,9.240000,9.270000,6.548959,9263700
2019-04-05,9.260000,9.290000,9.240000,9.260000,6.541894,7897700
2019-04-08,9.280000,9.290000,9.250000,9.280000,6.556022,5181100
2019-04-09,9.280000,9.300000,9.250000,9.300000,6.570152,9050700
2019-04-10,9.290000,9.300000,9.260000,9.280000,6.556022,7977700
2019-04-11,9.280000,9.290000,9.260000,9.260000,6.541894,9156000
2019-04-12,9.260000,9.280000,9.260000,9.270000,6.548959,6399000
2019-04-15,9.270000,9.310000,9.250000,9.250000,6.534829,4279900
2019-04-16,9.250000,9.290000,9.200000,9.210000,6.506570,10528700
2019-04-17,9.200000,9.200000,8.990000,9.000000,6.358212,19584400
2019-04-18,8.990000,9.020000,8.750000,9.000000,6.358212,19802800
2019-04-19,9.020000,9.110000,9.000000,9.090000,6.421794,4477800
2019-04-22,9.100000,9.190000,9.100000,9.150000,6.464181,6573700
2019-04-23,9.170000,9.170000,9.130000,9.160000,6.471246,5863900
2019-04-24,9.220000,9.330000,9.120000,9.140000,6.457118,11424900
2019-04-25,9.140000,9.180000,9.120000,9.130000,6.450052,9545200
2019-04-26,9.140000,9.190000,9.130000,9.140000,6.457118,8898200
2019-04-29,9.150000,9.160000,9.120000,9.140000,6.457118,4701300
2019-04-30,9.170000,9.300000,9.140000,9.250000,6.534829,13967600
2019-05-02,9.250000,9.300000,9.240000,9.250000,6.534829,5897000
2019-05-03,9.260000,9.300000,9.250000,9.260000,6.541894,9427300
2019-05-06,9.250000,9.300000,9.210000,9.300000,6.805325,3013600
2019-05-07,9.020000,9.030000,8.920000,8.990000,6.812903,6708500
2019-05-08,8.980000,8.980000,8.910000,8.970000,6.797746,6417100
2019-05-09,8.980000,9.000000,8.960000,8.970000,6.797746,11646900
